"deg1","deg2","deg3","deg4","deg5"
1,0.0146655039850879,2.10852652978279e-13,2.54637163153239e-26,5.08142007766611e-40
1,0.00613168646407523,1.54531299053173e-13,2.09382873882112e-27,6.08253869249431e-40
1,0.00753693840650625,4.29751320761415e-13,2.01084373034428e-27,5.82880253077149e-39
1,0.00908855390500993,1.13149942369465e-13,3.80631395278799e-27,5.69446458963238e-39
1,0.00799892009148392,3.41584015192428e-13,3.86584673182254e-27,2.86080521137534e-38
1,0.0111750878632129,6.68343374581159e-14,9.61784767543718e-27,2.91743408272595e-40
1,0.0123677667566626,2.22318551831775e-12,1.58991978856942e-26,1.09080137332154e-37
1,0.0135267757847343,2.31989373750262e-13,1.62574409582526e-27,5.46904606326606e-40
1,0.0200098791591196,4.23195233142327e-13,9.52475345790404e-27,2.5579921037977e-39
1,0.0095259324418221,8.11140717822175e-14,2.1004552514414e-27,1.02355995574196e-41
1,0.0133141266426305,1.11067889956642e-13,3.36266691568834e-27,1.22545776019943e-39
1,0.0211399393923461,2.03423363827561e-13,2.62400709839343e-27,1.08183210762861e-40
1,0.0090152025862802,7.42497508485988e-14,5.10949214073232e-28,6.69406814876462e-39
1,0.0070631304990875,7.29392989833718e-14,7.38013487120319e-27,6.14754050276756e-40
1,0.00736434149853479,2.61170162555988e-13,1.16371871790737e-26,1.46462141303779e-38
1,0.0114951224899116,2.48269490090809e-13,6.07979330007434e-28,1.12279268578288e-38
1,0.00893350543806703,2.45767984132679e-13,7.68648616616053e-28,3.06220294875173e-38
1,0.00830593355931728,1.65276552078189e-13,6.16692091100728e-28,2.20183503593955e-39
1,0.0137243929070973,2.58373987006622e-14,6.03326609967192e-27,4.58203684343503e-40
1,0.0105512968196493,5.01001866636737e-13,1.26428686028423e-26,2.15225944395275e-39
1,0.0129505993356603,2.41337249496319e-14,1.01445251101636e-26,1.11183145096128e-42
1,0.0174936132165384,2.54866815830608e-14,1.01474339293253e-27,1.16612590005117e-39
1,0.0133667049911788,1.52128569747452e-13,7.14562292512687e-28,8.18309693028099e-40
1,0.0192741086220633,2.79343266897066e-13,5.29673730460293e-28,3.04287595119701e-41
1,0.00937267750859438,1.09763070413375e-13,4.52775269385839e-28,5.3102772961673e-40
1,0.0160641243900458,8.73696870537667e-14,9.0317164289453e-28,1.48253637897822e-39
1,0.00745171030797447,3.02941057501964e-13,1.69635189152949e-27,9.1922592178082e-40
