"model","data_gen","dataset_num","leg_deg","llik_stationary","aic_stationary","bic_stationary"
"model_Ycubic_tr100_legd1.RData","Ycubic",27,1,-441.473819189434,884.947638378868,887.552808564856
"model_Ycubic_tr100_legd1.RData","Ycubic",28,1,-415.291774023072,832.583548046143,835.188718232131
"model_Ycubic_tr100_legd1.RData","Ycubic",29,1,-473.423393629807,948.846787259614,951.451957445602
"model_Ycubic_tr100_legd1.RData","Ycubic",30,1,-362.220211022542,726.440422045083,729.045592231071
"model_Ycubic_tr100_legd1.RData","Ycubic",31,1,-439.573459535732,881.146919071465,883.752089257453
"model_Ycubic_tr100_legd1.RData","Ycubic",32,1,-452.378664627389,906.757329254778,909.362499440767
"model_Ycubic_tr100_legd1.RData","Ycubic",33,1,-441.023644036344,884.047288072687,886.652458258675
"model_Ycubic_tr100_legd1.RData","Ycubic",34,1,-451.408813027928,904.817626055856,907.422796241844
"model_Ycubic_tr100_legd1.RData","Ycubic",35,1,-505.333780025415,1012.66756005083,1015.27273023682
"model_Ycubic_tr100_legd1.RData","Ycubic",36,1,-432.140398068902,866.280796137805,868.885966323793
"model_Ycubic_tr100_legd1.RData","Ycubic",37,1,-452.840803171719,907.681606343438,910.286776529426
"model_Ycubic_tr100_legd1.RData","Ycubic",38,1,-341.86523247861,685.730464957219,688.335635143207
"model_Ycubic_tr100_legd1.RData","Ycubic",39,1,-339.771522967448,681.543045934896,684.148216120884
"model_Ycubic_tr100_legd1.RData","Ycubic",40,1,-459.643770964588,921.287541929176,923.892712115164
"model_Ycubic_tr100_legd1.RData","Ycubic",41,1,-377.090826308873,756.181652617746,758.786822803734
"model_Ycubic_tr100_legd1.RData","Ycubic",42,1,-522.396463707722,1046.79292741544,1049.39809760143
"model_Ycubic_tr100_legd1.RData","Ycubic",43,1,-389.412781829723,780.825563659447,783.430733845435
"model_Ycubic_tr100_legd1.RData","Ycubic",44,1,-419.775763202633,841.551526405265,844.156696591253
"model_Ycubic_tr100_legd1.RData","Ycubic",45,1,-399.934812113246,801.869624226492,804.47479441248
"model_Ycubic_tr100_legd1.RData","Ycubic",46,1,-611.491903782571,1224.98380756514,1227.58897775113
"model_Ycubic_tr100_legd1.RData","Ycubic",47,1,-403.631035623162,809.262071246324,811.867241432312
"model_Ycubic_tr100_legd1.RData","Ycubic",48,1,-461.350720376084,924.701440752168,927.306610938156
"model_Ycubic_tr100_legd1.RData","Ycubic",49,1,-334.905259910761,671.810519821522,674.41569000751
"model_Ycubic_tr100_legd1.RData","Ycubic",50,1,-447.202591697768,896.405183395536,899.010353581525
"model_Ycubic_tr100_legd1.RData","Ycubic",51,1,-632.492384502592,1266.98476900518,1269.58993919117
"model_Ycubic_tr100_legd1.RData","Ycubic",52,1,-398.336874975797,798.673749951594,801.278920137582
"model_Ycubic_tr100_legd1.RData","Ycubic",53,1,-545.739195314839,1093.47839062968,1096.08356081567
"model_Ycubic_tr100_legd1.RData","Ycubic",54,1,-340.127874509077,682.255749018153,684.860919204141
"model_Ycubic_tr100_legd1.RData","Ycubic",55,1,-324.444464673358,650.888929346717,653.494099532705
"model_Ycubic_tr100_legd1.RData","Ycubic",56,1,-406.098268132328,814.196536264656,816.801706450644
"model_Ycubic_tr100_legd1.RData","Ycubic",57,1,-322.304099708893,646.608199417786,649.213369603774
"model_Ycubic_tr100_legd1.RData","Ycubic",58,1,-348.205484963362,698.410969926725,701.016140112713
"model_Ycubic_tr100_legd1.RData","Ycubic",59,1,-264.911218847982,531.822437695965,534.427607881953
"model_Ycubic_tr100_legd1.RData","Ycubic",60,1,-381.775557953829,765.551115907658,768.156286093646
"model_Ycubic_tr100_legd1.RData","Ycubic",61,1,-484.400884212757,970.801768425515,973.406938611503
"model_Ycubic_tr100_legd1.RData","Ycubic",62,1,-335.477979944211,672.955959888421,675.561130074409
"model_Ycubic_tr100_legd1.RData","Ycubic",63,1,-357.206921098761,716.413842197523,719.019012383511
"model_Ycubic_tr100_legd1.RData","Ycubic",64,1,-576.432893615579,1154.86578723116,1157.47095741715
"model_Ycubic_tr100_legd1.RData","Ycubic",65,1,-418.447706456851,838.895412913702,841.500583099691
"model_Ycubic_tr100_legd1.RData","Ycubic",66,1,-401.491786101958,804.983572203916,807.588742389904
"model_Ycubic_tr100_legd1.RData","Ycubic",67,1,-398.396580412543,798.793160825086,801.398331011075
"model_Ycubic_tr100_legd1.RData","Ycubic",68,1,-311.003872013782,624.007744027563,626.612914213551
"model_Ycubic_tr100_legd1.RData","Ycubic",69,1,-673.610572356263,1349.22114471253,1351.82631489851
"model_Ycubic_tr100_legd1.RData","Ycubic",70,1,-526.87998513764,1055.75997027528,1058.36514046127
"model_Ycubic_tr100_legd1.RData","Ycubic",71,1,-379.382431581703,760.764863163406,763.370033349394
"model_Ycubic_tr100_legd1.RData","Ycubic",72,1,-537.863317072526,1077.72663414505,1080.33180433104
"model_Ycubic_tr100_legd1.RData","Ycubic",73,1,-361.6695823615,725.339164723001,727.944334908989
"model_Ycubic_tr100_legd1.RData","Ycubic",74,1,-482.087986218994,966.175972437989,968.781142623977
"model_Ycubic_tr100_legd1.RData","Ycubic",75,1,-448.730292208065,899.460584416129,902.065754602117
"model_Ycubic_tr100_legd1.RData","Ycubic",76,1,-420.60186088662,843.20372177324,845.808891959228
"model_Ycubic_tr100_legd1.RData","Ycubic",77,1,-284.386509530628,570.773019061255,573.378189247244
"model_Ycubic_tr100_legd1.RData","Ycubic",78,1,-463.894080145922,929.788160291845,932.393330477833
"model_Ycubic_tr100_legd1.RData","Ycubic",79,1,-517.062739367593,1036.12547873519,1038.73064892117
"model_Ycubic_tr100_legd1.RData","Ycubic",80,1,-467.159116515794,936.318233031589,938.923403217577
"model_Ycubic_tr100_legd1.RData","Ycubic",81,1,-430.248501593697,862.497003187395,865.102173373383
"model_Ycubic_tr100_legd1.RData","Ycubic",82,1,-576.319136098174,1154.63827219635,1157.24344238234
"model_Ycubic_tr100_legd1.RData","Ycubic",83,1,-381.138262675193,764.276525350386,766.881695536374
"model_Ycubic_tr100_legd1.RData","Ycubic",84,1,-623.856756835688,1249.71351367138,1252.31868385736
"model_Ycubic_tr100_legd1.RData","Ycubic",85,1,-361.958435742248,725.916871484497,728.522041670485
"model_Ycubic_tr100_legd1.RData","Ycubic",86,1,-529.718659882468,1061.43731976494,1064.04248995092
"model_Ycubic_tr100_legd1.RData","Ycubic",87,1,-277.091816207928,556.183632415856,558.788802601844
"model_Ycubic_tr100_legd1.RData","Ycubic",88,1,-427.088825768717,856.177651537433,858.782821723421
"model_Ycubic_tr100_legd1.RData","Ycubic",89,1,-607.660067197425,1217.32013439485,1219.92530458084
"model_Ycubic_tr100_legd1.RData","Ycubic",90,1,-433.61165035188,869.223300703761,871.828470889749
"model_Ycubic_tr100_legd1.RData","Ycubic",91,1,-434.664495120217,871.328990240433,873.934160426421
"model_Ycubic_tr100_legd1.RData","Ycubic",92,1,-358.229282704509,718.458565409018,721.063735595006
"model_Ycubic_tr100_legd1.RData","Ycubic",93,1,-429.954613903478,861.909227806955,864.514397992943
"model_Ycubic_tr100_legd1.RData","Ycubic",94,1,-452.472403848021,906.944807696042,909.54997788203
"model_Ycubic_tr100_legd1.RData","Ycubic",95,1,-493.223464747502,988.446929495004,991.052099680992
"model_Ycubic_tr100_legd1.RData","Ycubic",96,1,-470.737105595921,943.474211191842,946.07938137783
"model_Ycubic_tr100_legd1.RData","Ycubic",97,1,-446.015789281339,894.031578562678,896.636748748666
"model_Ycubic_tr100_legd1.RData","Ycubic",98,1,-260.631350533746,523.262701067492,525.86787125348
"model_Ycubic_tr100_legd1.RData","Ycubic",99,1,-544.426187885666,1090.85237577133,1093.45754595732
"model_Ycubic_tr100_legd1.RData","Ycubic",100,1,-561.263204056275,1124.52640811255,1127.13157829854
"model_Ycubic_tr100_legd10.RData","Ycubic",1,10,-105.965117358234,231.930234716469,257.98193657635
"model_Ycubic_tr100_legd10.RData","Ycubic",2,10,-124.097493884532,268.194987769064,294.246689628945
"model_Ycubic_tr100_legd10.RData","Ycubic",3,10,-108.540063708179,237.080127416358,263.131829276239
"model_Ycubic_tr100_legd10.RData","Ycubic",4,10,-133.745987589859,287.491975179719,313.5436770396
"model_Ycubic_tr100_legd10.RData","Ycubic",5,10,-127.830603208769,275.661206417539,301.71290827742
"model_Ycubic_tr100_legd10.RData","Ycubic",6,10,-143.358306402642,306.716612805285,332.768314665165
"model_Ycubic_tr100_legd10.RData","Ycubic",7,10,-145.130513864907,310.261027729814,336.312729589695
"model_Ycubic_tr100_legd10.RData","Ycubic",8,10,-131.42946746602,282.85893493204,308.910636791921
"model_Ycubic_tr100_legd10.RData","Ycubic",9,10,-123.864728156464,267.729456312929,293.781158172809
"model_Ycubic_tr100_legd10.RData","Ycubic",10,10,-153.988036758146,327.976073516293,354.027775376174
"model_Ycubic_tr100_legd10.RData","Ycubic",11,10,-143.573777181356,307.147554362712,333.199256222593
"model_Ycubic_tr100_legd10.RData","Ycubic",12,10,-141.129893418142,302.259786836283,328.311488696164
