"model","data_gen","dataset_num","leg_deg","llik","aic","bic"
"model_Ycubic_tr100_legd1.RData","Ycubic",33,1,-49255.7221304484,98513.4442608969,98516.0494310829
"model_Ycubic_tr100_legd1.RData","Ycubic",34,1,-79804.2907474809,159610.581494962,159613.186665148
"model_Ycubic_tr100_legd1.RData","Ycubic",35,1,-160036.843923506,320075.687847013,320078.293017199
"model_Ycubic_tr100_legd1.RData","Ycubic",36,1,-156719.398335139,313440.796670278,313443.401840464
"model_Ycubic_tr100_legd1.RData","Ycubic",37,1,-166701.079895039,333404.159790078,333406.764960264
"model_Ycubic_tr100_legd1.RData","Ycubic",38,1,-129594.321619489,259190.643238978,259193.248409164
"model_Ycubic_tr100_legd1.RData","Ycubic",39,1,-96477.2690945751,192956.53818915,192959.143359336
"model_Ycubic_tr100_legd1.RData","Ycubic",40,1,-75064.1491642183,150130.298328437,150132.903498623
"model_Ycubic_tr100_legd1.RData","Ycubic",41,1,-95626.3728017136,191254.745603427,191257.350773613
"model_Ycubic_tr100_legd1.RData","Ycubic",42,1,-50690.4018359312,101382.803671862,101385.408842048
"model_Ycubic_tr100_legd1.RData","Ycubic",43,1,-139086.422205508,278174.844411016,278177.449581202
"model_Ycubic_tr100_legd1.RData","Ycubic",44,1,-67283.125913886,134568.251827772,134570.856997958
"model_Ycubic_tr100_legd1.RData","Ycubic",45,1,-159062.810867884,318127.621735768,318130.226905954
"model_Ycubic_tr100_legd1.RData","Ycubic",46,1,-66607.5072992176,133217.014598435,133219.619768621
"model_Ycubic_tr100_legd1.RData","Ycubic",47,1,-153607.984860828,307217.969721656,307220.574891842
"model_Ycubic_tr100_legd1.RData","Ycubic",48,1,-66173.8109564394,132349.621912879,132352.227083065
"model_Ycubic_tr100_legd1.RData","Ycubic",49,1,-311526.847208507,623055.694417014,623058.2995872
"model_Ycubic_tr100_legd1.RData","Ycubic",50,1,-51916.9299887287,103835.859977457,103838.465147643
"model_Ycubic_tr100_legd1.RData","Ycubic",51,1,-147184.407605403,294370.815210807,294373.420380993
"model_Ycubic_tr100_legd1.RData","Ycubic",52,1,-69866.7736176776,139735.547235355,139738.152405541
"model_Ycubic_tr100_legd1.RData","Ycubic",53,1,-422233.944547524,844469.889095047,844472.494265233
"model_Ycubic_tr100_legd1.RData","Ycubic",54,1,-73743.0801759611,147488.160351922,147490.765522108
"model_Ycubic_tr100_legd1.RData","Ycubic",55,1,-386003.117096618,772008.234193236,772010.839363422
"model_Ycubic_tr100_legd1.RData","Ycubic",56,1,-282962.102544408,565926.205088816,565928.810259002
"model_Ycubic_tr100_legd1.RData","Ycubic",57,1,-63297.3500695437,126596.700139087,126599.305309273
"model_Ycubic_tr100_legd1.RData","Ycubic",58,1,-111963.717255914,223929.434511827,223932.039682013
"model_Ycubic_tr100_legd1.RData","Ycubic",59,1,-37942.0175137998,75886.0350275996,75888.6401977856
"model_Ycubic_tr100_legd1.RData","Ycubic",60,1,-65502.1633961145,131006.326792229,131008.931962415
"model_Ycubic_tr100_legd1.RData","Ycubic",61,1,-61076.7846651113,122155.569330223,122158.174500409
"model_Ycubic_tr100_legd1.RData","Ycubic",62,1,-217718.809331223,435439.618662447,435442.223832633
"model_Ycubic_tr100_legd1.RData","Ycubic",63,1,-91846.7632182651,183695.52643653,183698.131606716
"model_Ycubic_tr100_legd1.RData","Ycubic",64,1,-90767.2806234241,181536.561246848,181539.166417034
"model_Ycubic_tr100_legd1.RData","Ycubic",65,1,-81510.4518195527,163022.903639105,163025.508809291
"model_Ycubic_tr100_legd1.RData","Ycubic",66,1,-66607.9616074121,133217.923214824,133220.52838501
"model_Ycubic_tr100_legd1.RData","Ycubic",67,1,-48225.8992110838,96453.7984221675,96456.4035923535
"model_Ycubic_tr100_legd1.RData","Ycubic",68,1,-65989.8804971286,131981.760994257,131984.366164443
"model_Ycubic_tr100_legd1.RData","Ycubic",69,1,-73165.1375947732,146332.275189546,146334.880359732
"model_Ycubic_tr100_legd1.RData","Ycubic",70,1,-60295.5049053924,120593.009810785,120595.614980971
"model_Ycubic_tr100_legd1.RData","Ycubic",71,1,-118320.258362675,236642.516725349,236645.121895535
"model_Ycubic_tr100_legd1.RData","Ycubic",72,1,-61914.6775744549,123831.35514891,123833.960319096
"model_Ycubic_tr100_legd1.RData","Ycubic",73,1,-39927.4763876729,79856.9527753457,79859.5579455317
"model_Ycubic_tr100_legd1.RData","Ycubic",74,1,-107207.119516017,214416.239032035,214418.844202221
"model_Ycubic_tr100_legd1.RData","Ycubic",75,1,-49764.0075315236,99530.0150630471,99532.6202332331
"model_Ycubic_tr100_legd1.RData","Ycubic",76,1,-70222.7360093641,140447.472018728,140450.077188914
"model_Ycubic_tr100_legd1.RData","Ycubic",77,1,-82675.5763041318,165353.152608264,165355.75777845
"model_Ycubic_tr100_legd1.RData","Ycubic",78,1,-115944.523393658,231891.046787315,231893.651957501
"model_Ycubic_tr100_legd1.RData","Ycubic",79,1,-115514.505294256,231031.010588512,231033.615758698
"model_Ycubic_tr100_legd1.RData","Ycubic",80,1,-58542.2090862577,117086.418172515,117089.023342701
"model_Ycubic_tr100_legd1.RData","Ycubic",81,1,-139149.997563213,278301.995126426,278304.600296612
"model_Ycubic_tr100_legd1.RData","Ycubic",82,1,-69371.4268085503,138744.853617101,138747.458787287
"model_Ycubic_tr100_legd1.RData","Ycubic",83,1,-83060.948891639,166123.897783278,166126.502953464
"model_Ycubic_tr100_legd1.RData","Ycubic",84,1,-63670.6803499249,127343.36069985,127345.965870036
"model_Ycubic_tr100_legd1.RData","Ycubic",85,1,-72804.7650852066,145611.530170413,145614.135340599
"model_Ycubic_tr100_legd1.RData","Ycubic",86,1,-109431.809970511,218865.619941021,218868.225111207
"model_Ycubic_tr100_legd1.RData","Ycubic",87,1,-151472.893023292,302947.786046583,302950.391216769
"model_Ycubic_tr100_legd1.RData","Ycubic",88,1,-116916.453091191,233834.906182382,233837.511352568
"model_Ycubic_tr100_legd1.RData","Ycubic",89,1,-126329.5972726,252661.1945452,252663.799715386
"model_Ycubic_tr100_legd1.RData","Ycubic",90,1,-50712.8369678117,101427.673935623,101430.279105809
"model_Ycubic_tr100_legd1.RData","Ycubic",91,1,-76846.7265816186,153695.453163237,153698.058333423
"model_Ycubic_tr100_legd1.RData","Ycubic",92,1,-84568.8866862076,169139.773372415,169142.378542601
"model_Ycubic_tr100_legd1.RData","Ycubic",93,1,-82314.8516875124,164631.703375025,164634.308545211
"model_Ycubic_tr100_legd1.RData","Ycubic",94,1,-181622.71550402,363247.431008041,363250.036178227
"model_Ycubic_tr100_legd1.RData","Ycubic",95,1,-89409.955018204,178821.910036408,178824.515206594
"model_Ycubic_tr100_legd1.RData","Ycubic",96,1,-70528.4673566429,141058.934713286,141061.539883472
"model_Ycubic_tr100_legd1.RData","Ycubic",97,1,-64907.2879352367,129816.575870473,129819.181040659
"model_Ycubic_tr100_legd1.RData","Ycubic",98,1,-94125.5062706848,188253.01254137,188255.617711556
"model_Ycubic_tr100_legd1.RData","Ycubic",99,1,-76432.8247334372,152867.649466874,152870.25463706
"model_Ycubic_tr100_legd1.RData","Ycubic",100,1,-74174.9237678623,148351.847535725,148354.452705911
"model_Ycubic_tr100_legd10.RData","Ycubic",1,10,-42722.4103415689,85464.8206831378,85490.8723849977
"model_Ycubic_tr100_legd10.RData","Ycubic",2,10,-39755.053615454,79530.1072309081,79556.158932768
"model_Ycubic_tr100_legd10.RData","Ycubic",3,10,-38635.7487362297,77291.4974724594,77317.5491743193
"model_Ycubic_tr100_legd10.RData","Ycubic",4,10,-42638.6685237329,85297.3370474658,85323.3887493256
"model_Ycubic_tr100_legd10.RData","Ycubic",5,10,-38872.0278283032,77764.0556566063,77790.1073584662
"model_Ycubic_tr100_legd10.RData","Ycubic",6,10,-44561.0089053905,89142.017810781,89168.0695126409
"model_Ycubic_tr100_legd10.RData","Ycubic",7,10,-51732.0024301493,103484.004860299,103510.056562158
"model_Ycubic_tr100_legd10.RData","Ycubic",8,10,-48148.2906611577,96316.5813223155,96342.6330241754
"model_Ycubic_tr100_legd10.RData","Ycubic",9,10,-52410.5821540428,104841.164308086,104867.216009945
"model_Ycubic_tr100_legd10.RData","Ycubic",10,10,-43657.936469793,87335.8729395861,87361.9246414459
"model_Ycubic_tr100_legd10.RData","Ycubic",11,10,-43211.5329381299,86443.0658762599,86469.1175781197
"model_Ycubic_tr100_legd10.RData","Ycubic",12,10,-37972.8416133869,75965.6832267738,75991.7349286337
"model_Ycubic_tr100_legd10.RData","Ycubic",13,10,-45246.5516974531,90513.1033949062,90539.1550967661
"model_Ycubic_tr100_legd10.RData","Ycubic",14,10,-34489.8633789684,68999.7267579367,69025.7784597966
"model_Ycubic_tr100_legd10.RData","Ycubic",15,10,-52911.7788923435,105843.557784687,105869.609486547
"model_Ycubic_tr100_legd10.RData","Ycubic",16,10,-49092.5800902737,98205.1601805475,98231.2118824073
"model_Ycubic_tr100_legd10.RData","Ycubic",17,10,-38067.6856665755,76155.371333151,76181.4230350108
