"deg1","deg2","deg3","deg4","deg5"
1,0.00901177509608954,3.44355136089436e-13,1.50562338740136e-27,7.77975129455985e-39
1,0.0129983839449735,2.05033048007138e-13,2.97935749634231e-28,9.06484251115048e-39
1,0.017294322097451,1.11779356010999e-13,5.62434251154863e-27,3.05910277747467e-40
1,0.00965833220454013,1.59463447226842e-13,1.82968003752627e-26,5.36294190519649e-40
1,0.0125133665121647,3.5746215231487e-13,1.53504193604588e-27,3.47732358041202e-38
1,0.0187912220507318,4.3005526875892e-13,2.99597827194341e-28,1.81835630100699e-41
1,0.01078212806735,6.0471748959422e-13,5.157320309289e-26,5.97748392431564e-38
1,0.0105398110250725,4.85946170234481e-13,9.88253627820645e-27,4.88264508773174e-41
1,0.00953244630099774,4.70887701526036e-13,2.14359813223784e-26,1.12780503923599e-39
1,0.00592926068776997,4.0925289655156e-13,2.38314948253608e-28,1.98663542959534e-38
