"deg1","deg2","deg3","deg4","deg5"
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
55,55,55,55,55
