"deg1","deg2","deg3"
1,3.16040513973771e-13,2.68926238311725e-27
1,8.02716151456468e-13,3.00752942931094e-26
1,1.46196861740526e-11,2.90919258795084e-29
1,6.90727168222904e-12,1.71081323681494e-24
1,1.17009927969037e-12,2.67576393284463e-27
1,1.27297419699779e-11,8.80872900334798e-27
1,5.44327498399988e-12,9.38149306852884e-30
1,2.52024474026566e-12,3.40187669600599e-26
1,3.76080617667968e-12,5.9346799698519e-27
1,2.42999364206579e-11,4.23658392977097e-27
