"deg1","deg2","deg3"
0.294409522088222,0.998602799666198,0.92824810815189
0.305805309343728,0.99887586082089,0.939561260821086
0.425098964713498,0.996180148622832,0.926641734045697
0.485625594051977,0.99713496688047,0.918363006132659
0.224135781498608,0.995757519850331,0.934229370196815
0.440625661286611,0.998208589141912,0.934808644511094
0.169435027206842,0.993690839264339,0.936320899141328
0.211002146482436,0.99863266975293,0.931383863050869
0.199034215396039,0.99410176939986,0.935972276180183
0.414361039794045,0.995415335928504,0.94165268529475
0.21562262525041,0.998307991482689,0.932203766660549
0.200072740609422,0.999328558756775,0.917495532002797
0.647253536386331,0.997227002475905,0.92642804091737
0.336893377592356,0.99874735828228,0.934564820521116
0.384060616723755,0.995105392397626,0.913551491283996
0.510735750521662,0.996353486278623,0.942706474614621
0.398465342674682,0.99608561105712,0.916308887808466
0.250361968202653,0.999632711924462,0.930323732598446
0.704799052765229,0.996719484903795,0.925582525936853
0.362198126718117,0.997358437037969,0.931343130086459
0.374956896937763,0.994129215425589,0.933629337730492
0.870613053537912,0.999258658764995,0.935092868238522
0.396174285391725,0.99747990944323,0.931986323815654
0.310161330249433,0.995052048964605,0.933100510546139
0.702349828278477,0.997856330565919,0.932702166487539
0.398592025095167,0.997926095024991,0.932814897512934
0.319862840198948,0.999006193671414,0.93097834277524
0.200743081715635,0.996367956662509,0.936581464374002
0.221907489171568,0.999972490618026,0.92376652826532
0.291671453600367,0.996116250780936,0.925330504550679
0.414549886361948,0.998202845882486,0.924339807500846
0.331398878810849,0.996812522557956,0.928007402757704
0.566008027944943,0.998973033446166,0.921008977149655
0.39476879901609,0.999892813513198,0.930137761228329
0.716893682460642,0.9990752129393,0.934115552839763
0.414522023148868,0.998338313470145,0.928182001750032
0.308617376587398,0.997135726717469,0.929962358008479
0.331013623964445,0.995839420900058,0.921304097124467
0.309140503899361,0.995405737606609,0.909713274078451
0.425068175136118,0.999096582175379,0.939067308257662
0.247268859812012,0.993511382611512,0.912491511857978
0.449858995156957,0.997390708390759,0.947816263574362
0.420706330468584,0.998373602243568,0.929074551284567
0.527079914446057,0.999813473478697,0.939228259855339
0.239908571023553,0.995661545074009,0.928600386087185
0.151872985859519,0.997547306897091,0.928648334023583
0.531411578907662,0.997809916941382,0.923389977895198
0.636905387572418,0.998510095708932,0.928966471279374
0.212832729062996,0.997011123254316,0.930765522021164
0.202025013632055,0.998992587073407,0.934492202311466
