"lin","lin_nofz","quad","quad_nofz","cubic","cubic_nofz","rbf5_05","rbf5_05_nofz","rbf5_005","rbf5_005_nofz"
94.583500261992,86.3220375475928,215.026346757615,172.007426248746,196.336203109734,183.327134684541,329.969581912901,329.888088923847,138.220421226296,173.721903400653
142.684227240489,103.027194841044,172.239517230524,154.831317635767,170.883241132022,134.180369712041,283.999668583319,344.135083539418,164.504101685562,153.728679352338
85.1041107117523,97.1372450162268,158.983851896413,117.126845634984,135.332484412846,124.366324779002,356.6521773025,247.22732207972,149.116898804376,160.039992348249
105.806580860381,126.977489011018,208.539533690797,161.003663517801,184.79851620059,156.829064398207,268.490271716483,256.129928167124,155.674216700465,133.97566850554
92.1817753525067,127.780454794714,145.448230069401,180.665160922559,152.800379404143,175.398709579732,375.524623020999,252.592499624393,175.159182444312,152.640296268394
115.639180780991,112.619614000036,106.856785003015,184.047639672748,183.084697959349,129.647840138765,285.560405487103,284.187584003199,170.401457946957,177.502211294013
118.118507118586,130.036863718345,151.637430371693,116.685202314498,210.460772229294,150.71226784849,254.384988802795,277.891492514483,162.579463949121,126.458225199783
113.839425029524,102.072227685796,110.595883737486,133.766316553309,172.978207597589,173.84981386216,288.960527593799,298.274658266055,133.396997881255,155.814272581334
98.4805807449999,115.464624518773,132.414905363139,155.710483064857,148.748727467191,126.064970881599,293.625904353108,296.772660290345,147.33654163028,136.984399558092
116.046891761062,107.399548630558,150.141212180947,151.132350569642,173.263293801011,154.575247027735,368.765301742096,361.161375944108,167.944260075018,149.698076912432
93.4223892938,100.959308221087,149.204193840156,128.3292254575,139.16101390628,178.974784261099,319.3483064575,324.050803439716,168.724142446315,137.804561669885
92.272194622801,100.103865744802,131.849660215808,113.321184744094,146.007310908086,148.010039118436,314.193265456446,379.593250224549,172.304188893816,155.136266188421
104.1462412329,104.686825577699,142.480686949904,149.37283790547,146.118471128106,178.675129742151,319.271801612559,221.617238074809,174.560551705598,158.996091004133
135.400463033168,84.2797954204648,132.037125780844,124.76276168577,115.862218180401,147.294135378156,254.145874917664,254.216741534129,153.072625813771,155.531640030846
100.186085846221,82.7630091401978,193.825213686478,182.977360727778,169.183185073704,177.734453937644,410.463651997716,265.431497831249,165.789573327027,164.198052901966
114.918762011544,103.995847278437,158.719824897388,126.067855729434,123.755161038619,145.149704744298,290.791442815718,250.276247217496,132.912678785038,133.592166476175
112.588692943796,135.99496927435,191.707663310407,107.521741595634,171.334075742424,131.34447550182,261.888220344535,356.717753818966,150.428969523386,152.986218159181
131.931778980611,144.593535241539,126.858379679187,160.551934923879,151.460851969395,118.563954216699,273.30671461227,270.459327449183,160.192065413205,146.991948892292
93.0317292661821,110.816815919756,81.4669625847372,127.701179636983,153.467072339186,164.482795563949,365.087584283584,287.822252736003,155.869689998871,147.798232157381
